"","State","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location_Code","Marital_Status","Monthly_Premium_Auto","Months_Since_Last_Claim","Months_Since_Policy_Inception","Number_of_Open_Complaints","Number_of_Policies","Policy_Type","Policy","Renew_Offer_Type","Sales_Channel","Total_Claim_Amount","Vehicle_Class","Vehicle_Size","pred"
"1","Washington",2763.519279,"No","Basic","Bachelor","Employed","F",56274,"Suburban","Married",69,32,5,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",384.811147,"Two-Door Car","Medsize",5932.10946142095
"3","Nevada",12887.43165,"No","Premium","Bachelor","Employed","F",48767,"Suburban","Married",108,18,38,0,2,"Personal Auto","Personal L3","Offer1","Agent",566.472247,"Two-Door Car","Medsize",8151.02830992454
"6","Oregon",8256.2978,"Yes","Basic","Bachelor","Employed","F",62902,"Rural","Married",69,14,94,0,2,"Personal Auto","Personal L3","Offer2","Web",159.383042,"Two-Door Car","Medsize",5222.46432809249
"7","Oregon",5380.898636,"Yes","Basic","College","Employed","F",55350,"Suburban","Married",67,0,13,0,9,"Corporate Auto","Corporate L3","Offer1","Agent",321.6,"Four-Door Car","Medsize",7741.83222662409
"10","Oregon",7388.178085,"No","Extended","College","Employed","F",28812,"Urban","Married",93,17,7,0,8,"Special Auto","Special L2","Offer2","Branch",425.527834,"Four-Door Car","Medsize",8016.88497103818
"11","California",4738.992022,"No","Basic","College","Unemployed","M",0,"Suburban","Single",67,23,5,0,3,"Personal Auto","Personal L3","Offer1","Agent",482.4,"Four-Door Car","Small",5425.84195559377
"13","California",8798.797003,"No","Premium","Master","Employed","M",77026,"Urban","Married",110,9,82,2,3,"Corporate Auto","Corporate L1","Offer2","Agent",472.029737,"Four-Door Car","Medsize",7351.34039664596
"14","Arizona",8819.018934,"Yes","Basic","High School or Below","Employed","M",99845,"Suburban","Married",110,23,25,1,8,"Corporate Auto","Corporate L3","Offer2","Branch",528,"SUV","Medsize",9390.27894863601
"15","California",5384.431665,"No","Basic","College","Employed","M",83689,"Urban","Single",70,21,10,2,8,"Corporate Auto","Corporate L3","Offer4","Call Center",307.139132,"Four-Door Car","Medsize",6307.74740958121
"16","Oregon",7463.139377,"No","Basic","Bachelor","Employed","F",24599,"Rural","Married",64,12,50,1,2,"Corporate Auto","Corporate L2","Offer2","Branch",42.920271,"Four-Door Car","Medsize",4681.55609222504
"18","California",3945.241604,"No","Basic","College","Medical Leave","M",28855,"Suburban","Married",101,12,59,0,1,"Personal Auto","Personal L2","Offer3","Call Center",647.442031,"SUV","Medsize",6671.9740597194
"19","Oregon",5710.333115,"No","Basic","College","Employed","M",51148,"Urban","Married",72,9,1,0,7,"Personal Auto","Personal L2","Offer2","Branch",308.981664,"Four-Door Car","Medsize",6868.09192014861
"20","California",8162.617053,"No","Premium","High School or Below","Employed","F",66140,"Suburban","Married",101,11,21,0,3,"Corporate Auto","Corporate L2","Offer1","Call Center",484.8,"Four-Door Car","Small",7999.91100451492
"24","Nevada",2450.190996,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",73,4,44,3,1,"Corporate Auto","Corporate L3","Offer1","Branch",554.376763,"Four-Door Car","Medsize",4632.59944127329
"25","California",2392.10789,"No","Basic","Bachelor","Disabled","F",17870,"Suburban","Married",61,30,91,0,1,"Corporate Auto","Corporate L2","Offer2","Branch",439.2,"Four-Door Car","Medsize",3898.87093496212
"27","California",3946.372085,"No","Premium","Bachelor","Unemployed","F",0,"Suburban","Single",111,15,47,0,1,"Personal Auto","Personal L3","Offer1","Agent",799.2,"Four-Door Car","Small",7049.93435485909
"29","Arizona",12902.56014,"No","Premium","College","Employed","F",86584,"Suburban","Single",111,33,54,2,2,"Personal Auto","Personal L3","Offer1","Call Center",532.8,"Four-Door Car","Large",7665.8437030865
"30","Oregon",3235.360468,"No","Extended","Master","Employed","F",75690,"Suburban","Married",80,17,44,1,1,"Personal Auto","Personal L3","Offer2","Branch",384,"Four-Door Car","Small",5389.6986750217
"31","Arizona",2454.58354,"No","Basic","College","Employed","M",23158,"Suburban","Married",63,4,6,1,1,"Personal Auto","Personal L2","Offer4","Call Center",322.294043,"Four-Door Car","Small",4193.76944620657
"32","Nevada",18975.45611,"No","Extended","High School or Below","Employed","M",65999,"Urban","Married",237,1,14,0,6,"Corporate Auto","Corporate L2","Offer2","Agent",615.927769,"Luxury SUV","Medsize",14374.789347503
